Published Date,Title,Content,URL,News Channel,News Channel URL,Bias,Tags
Mar 19 2024,More Women Choose Abortion Pills as States Crack Down,"The fall of Roe v. Wade nearly two years ago fundamentally changed when, how and where women get abortions. Medication abortions have become more common despite the elimination of federal protections for the procedure, new data show. 
Medication abortion rose to account for nearly two-thirds of abortions in the U.S. in 2023, according to a report released Tuesday by the Guttmacher",https://www.allsides.com/news/2024-03-19-0548/abortion-more-women-choose-abortion-pills-states-crack-down,Wall Street Journal (News),https://www.wsj.com/health/abortion-pill-increase-roe-wade-68472ff8?mod=hp_lead_pos8,center,"['Abortion', 'Roe V Wade', 'Abortion Pills', 'Healthcare', 'Public Health']"
Mar 19 2024,Biden Looks to Shore Up Latino Support in Visit to Nevada and Arizona,"President Biden plans to visit Nevada and Arizona this week to champion his economic policies and attack Republicans on immigration and abortion as he seeks to shore up a crucial but wavering Latino electorate in the two battleground states. Mr. Biden will begin his trip on Tuesday in Reno, Nev., where he plans to promote his economic agenda and denounce former President Donald J. Trump over",https://www.allsides.com/news/2024-03-19-0230/politics-biden-looks-shore-latino-support-visit-nevada-and-arizona,New York Times (News),https://nytimes.com/2024/03/19/us/politics/biden-nevada-arizona.html,left,['Politics']
Mar 18 2024,"The Wider Image: After Roe v. Wade fell, this father-daughter duo left Texas to go on providing abortions",NaN,NaN,Colorado Springs Gazette,NaN,center,['Abortion']
Mar 18 2024,Ohio Supreme Court primary with 2 Democrats kicks off long campaign over court's partisan control,"Tuesday’s for one of three contested seats on the Ohio Supreme Court will kick off a high-stakes battle for partisan control of the court this fall. The court, which currently has a 4-3 Republican majority, holds sway over how to implement an protecting abortion rights that voters overwhelmingly approved last year. Ohio is one of 33 states with this year and among the few where voters have an",https://www.allsides.com/news/2024-03-18-2130/supreme-court-ohio-supreme-court-primary-2-democrats-kicks-long-campaign-over,Associated Press,https://apnews.com/article/election-2024-ohio-supreme-court-abortion-primary-21e758ce9b83a130e086f56d4a67b388,left,['Supreme Court']
Mar 18 2024,"Sanders adviser heads group trying to defeat proposed constitutional amendments on abortion, medical marijuana",NaN,NaN,Arkansas Democrat-Gazette,NaN,left,"['Abortion', 'DNC']"
Mar 18 2024,"Married nurse practitioner tried to force abortion pills into girlfriend, police say","Coots' wife, Melissa, is also charged with witness tampering after joining her husband in trying to persuade the woman to not go to the police, prosecutors say. A married nurse practitioner is accused of forcing abortion pills inside his girlfriend, who was also one of his patients, after she got pregnant. David Benjamin Coots is charged with assault in the second degree, rape in the third",https://www.allsides.com/news/2024-03-18-1133/abortion-married-nurse-practitioner-tried-force-abortion-pills-girlfriend,KING 5 News,https://king5.com/article/news/crime/married-nurse-tried-force-abortion-pills-girlfriend/281-dca21ddc-6e99-479b-817c-440a4f3e8505,center,"['Abortion', 'Crime']"
Mar 18 2024,Pro-life mobile clinic parked beside Oregon Planned Parenthood facility gets local support,"A pro-life mobile clinic parked alongside a Planned Parenthood facility in an Oregon city since last year has received considerable support from the community. Stanton Healthcare, a pro-life pregnancy resource center based in Idaho, sent its 36-foot mobile clinic to Ontario, Oregon, the day that Planned Parenthood opened up an abortion facility there last year. The Planned Parenthood facility",https://www.allsides.com/news/2024-03-18-0844/abortion-pro-life-mobile-clinic-parked-beside-oregon-planned-parenthood,The Christian Post,https://christianpost.com/news/pro-life-rv-parked-at-planned-parenthood-clinic-has-local-support.html,right,"['Abortion', 'Planned Parenthood']"
Mar 18 2024,Protecting abortion rights in states hangs in the balance of national election strategies,"ST. LOUIS — In early February, abortion rights supporters gathered to change Missouri history at the Pageant — a storied club where rock ’n’ roll revolutionary Chuck Berry often had played: They launched a signature-gathering campaign to put a constitutional amendment to voters this year to legalize abortion in the state. “We have fought long for this moment,” the Rev. Love Holt, the emcee,",https://www.allsides.com/news/2024-03-18-0333/abortion-protecting-abortion-rights-states-hangs-balance-national-election,"""USA Today"" Contributor",https://usatoday.com/story/news/nation/2024/03/18/abortion-ballot-measures-states-hinge-national-election-strategy/72996887007,left,['Abortion']
Mar 17 2024,Democratic women are scarce in Southern US statehouses,"Democrat Kayla Young and Republican Patricia Rucker frequently clash on abortion rights and just about everything else in West Virginia’s Legislature, but they agree on one thing: Too few of their colleagues are women, and it’s hurting the state. “There are exceptions to every single rule, but I think in general, men do kind of see this as their field,” said Rucker, part of the GOP’s Senate",https://www.allsides.com/news/2024-03-17-1233/politics-democratic-women-are-scarce-southern-us-statehouses,Daily Kos,https://dailykos.com/stories/2024/3/17/2229449/-Democratic-women-are-scarce-in-Southern-US-statehouses,left,"['DNC', 'Politics']"
Mar 17 2024,Alabama denies 'equal protection' for the unborn by allowing…,"Alabama laws against abortion are considered some of the best in the country when it comes to protecting the life of the unborn. However, Texas attorney and co-founder of Heritage Defense Bradley Pierce, who has authored “equal protection” bills around the country, believes it doesn’t go far enough. During a recent episode of “1819 News: The Podcast,” Pierce said abortions were still happening",https://www.allsides.com/news/2024-03-17-0530/general-news-alabama-denies-equal-protection-unborn-allowing,1819 News,https://1819news.com/news/item/alabama-denies-equal-protection-for-the-unborn-by-allowing-thousands-of-abortions-texas-attorney-says,right,['-General News']
Mar 16 2024,Pro-life oratory contest for high school students,"The 35th annual Right To Life Of Michigan Educational Fund High School Oratory Contest (family & friends welcome) will be held from 11 a.m. to 1 p.m. on Saturday, April 27 at the Southgate Public Library, 14680 Dix-Toledo Road, Southgate. High School students from Downriver, Dearborn and Dearborn Heights can enter the contest by researching, writing and presenting a 5-7 minute pro life",https://www.allsides.com/news/2024-03-17-0210/general-news-pro-life-oratory-contest-high-school-students,The News-Herald,https://thenewsherald.com/2024/03/17/pro-life-oratory-contest-for-high-school-students,rated,['-General News']
Mar 16 2024,Oklahoma bill targeting distribution of abortion-inducing drugs gains traction,NaN,NaN,KTUL 8,NaN,center,['Abortion']
Mar 16 2024,Kamala Harris Asserts 'Healthcare Crisis' In Landmark Visit To Abortion Clinic,"Vice President Kamala Harris declared that the country is facing a health crisis after she made a historic visit to an abortion clinic in Minnesota. ""Many of you have asked why am I here at this facility,"" Harris was quoted by USA Today after touring the St. Paul Health Center - Vandalia, which remained open to patients during her visit. ""It is because right now in our country we are facing a",https://www.allsides.com/news/2024-03-16-1030/abortion-kamala-harris-asserts-healthcare-crisis-landmark-visit-abortion-clinic,International Business Times,https://ibtimes.com/kamala-harris-asserts-healthcare-crisis-landmark-visit-abortion-clinic-3727341,center,['Abortion']
Mar 16 2024,Slate of GOP extremists has Democrats excited for North Carolina fight,"In 2020, Joe Biden narrowly missed capturing North Carolina’s 16 electoral votes, losing the state by a slim 1.4-percentage-point margin. But that was nearly four years ago. Before the Dobbs decision. Before Donald Trump’s 91 felony indictments. And before last week, when the state’s GOP voters nominated a guy—who favorably quotes Hitler, has compared LGBTQ+ people to insects and larvae, and",https://www.allsides.com/news/2024-03-16-0930/politics-slate-gop-extremists-has-democrats-excited-north-carolina-fight,Daily Kos,https://dailykos.com/stories/2024/3/16/2229608/-Slate-of-GOP-extremists-has-Democrats-excited-for-North-Carolina-fight,left,"['Politics', 'GOP']"
Mar 16 2024,Democrats criticize Youngkin appointment to State Board of Health,"Vega, who lost a close 2022 congressional contest to Democrat Abigail Spanberger in the 7th District, drew fire on abortion early in her campaign for celebrating the Supreme Court ruling that overturned Roe v. Wade and for appearing to suggest that impregnation might be less likely as a result of rape. According to audio that Axios posted in June 2022, an unidentified person said to Vega: ""I'",https://www.allsides.com/news/2024-03-16-0830/general-news-democrats-criticize-youngkin-appointment-state-board-health,Richmond Times Dispatch,https://richmond.com/news/state-regional/government-politics/youngkin-board-of-health-abortion-rape-vega/article_d37132f6-e327-11ee-9005-4b31230f86ca.html,right,['-General News']
Mar 16 2024,Noem signs bill allowing people to withdraw signatures from petitions,"PIERRE, S.D. (AP) – South Dakota Gov. Kristi Noem has signed a bill to allow signers of ballot initiative petitions to revoke their signatures — a move opponents decry as a jab at direct democracy and a proposed abortion rights initiative, which would enable voters to protect abortion rights in the state constitution. The Republican governor signed the bill on Friday. The Republican-led",https://www.allsides.com/news/2024-03-16-0533/general-news-noem-signs-bill-allowing-people-withdraw-signatures-petitions,KFGO,https://kfgo.com/2024/03/16/a-new-front-opens-over-south-dakota-ballot-initiatives-withdrawing-signatures-from-petitions,left,['-General News']
Mar 15 2024,A new front opens over South Dakota ballot initiatives: withdrawing signatures from petitions,"FILE - South Dakota Republican Rep. Jon Hansen poses in the House of Representatives in the state Capitol in Pierre, S.D., on Wednesday, Feb. 21, 2024. Hansen sponsored a bill Gov. Kristi Noem signed on Friday, March 15, 2024, that allows signers of initiative petitions to withdraw their signatures. (AP Photo/Jack Dura, File) South Dakota Gov. Kristi Noem has a signed a bill to allow signers",https://www.allsides.com/news/2024-03-15-1530/politics-new-front-opens-over-south-dakota-ballot-initiatives-withdrawing,Yahoo News,https://yahoo.com/news/front-opens-over-south-dakota-222023661.html,left,['Politics']
Mar 15 2024,Medical marijuana and abortion rights could be on Nebraska ballot,"Nebraska voters could be voting on several controversial ballot initiatives this November, including legalizing medical cannabis, enshrining abortion rights in the state constitution, requiring paid sick leave, and establishing a consumption tax—if they meet the July 3 deadline for signature collections. If approved, they’ll join a referendum already on the ballot aiming to repeal a law",https://www.allsides.com/news/2024-03-15-1233/abortion-medical-marijuana-and-abortion-rights-could-be-nebraska-ballot,"""USA Today"" Contributor",https://usatoday.com/story/news/politics/elections/2024/03/15/medical-marijuana-abortion-nebraska-ballot/72932984007,left,['Abortion']
Mar 15 2024,Appeals court upholds parental consent for birth control; Texas Medical Board to clarify abortion exceptions,"A U.S. appeals court has upheld a Texas law mandating parental consent for teenagers seeking birth control at federally funded clinics. “The federal program looks at free contraception for everyone,” Texas Tribune senior managing editor Ayan Mittra explains. “And so the justices on the court, in making this ruling affirming this lower court’s ruling about requiring parental consent to obtain",https://www.allsides.com/news/2024-03-15-1033/abortion-appeals-court-upholds-parental-consent-birth-control-texas-medical,Texas Standard,https://texasstandard.org/stories/fifth-circuit-appeals-court-texas-medical-board-parental-consent-birth-control-abortion-exceptions,center,['Abortion']
Mar 15 2024,Kamala Harris Decries “Healthcare Crisis” as She Visits Minnesota Abortion Clinic,"Vice President Kamala Harris visited a Planned Parenthood clinic in Saint Paul, Minnesota, on Thursday in the first such official visit by a president or vice president. The visit was part of Harris’s “Fight for Reproductive Freedoms” tour, as the Biden campaign seeks to capitalize on voter anger over the Supreme Court’s overturning of Roe v. Wade. This is Vice President Harris. Vice President",https://www.allsides.com/news/2024-03-15-0730/abortion-kamala-harris-decries-healthcare-crisis-she-visits-minnesota-abortion,Democracy Now!,https://democracynow.org/2024/3/15/headlines/kamala_harris_decries_healthcare_crisis_as_she_visits_minnesota_abortion_clinic,left,['Abortion']
Mar 15 2024,Arkansas could become the latest conservative state to put abortion before voters,"Arkansas is one of 20 states that have severely restricted or completely outlawed abortion in the nearly two years since the overturning of Roe v. Wade. Some anti-abortion groups consider the state's law one of the most restrictive in the nation. But now, an effort is underway to change that and give Arkansas voters a chance to enshrine some abortion protections into the state Constitution. If",https://www.allsides.com/news/2024-03-15-0425/abortion-arkansas-could-become-latest-conservative-state-put-abortion-voters,Southwest Times Record,https://swtimes.com/story/news/politics/2024/03/15/arkansas-abortion-amendment-activists-campaign-for-signatures/72959689007,rated,['Abortion']
Mar 15 2024,"Madison McVan, Author at Michigan Advance","Vice President Kamala Harris toured a St. Paul Planned Parenthood clinic Thursday, in what is thought to be the first visit by a sitting president or vice president to an abortion provider. Harris’ “Fight for Reproductive Freedoms” tour is meant to highlight the consequences of abortion bans. The Biden-Harris reelection campaign has sought to capitalize […]",https://www.allsides.com/news/2024-03-15-0355/general-news-madison-mcvan-author-michigan-advance,Michigan Advance,https://michiganadvance.com/author/madisonmcvan,center,['-General News']
Mar 14 2024,"Second 'Courageous Conversation' set for Tuesday, discussing eliminating South Dakota's food tax","Mar. 14—MITCHELL — Dakota Wesleyan University will offer the second of its three scheduled Courageous Conversations on upcoming South Dakota ballot initiatives on Tuesday, March 19, in the School of Business, Innovation and Leadership, Room 117, at 7 p.m. This conversation will encourage dialogue on the question, """"Should South Dakota eliminate the food tax?"" Each Courageous Conversation will",https://www.allsides.com/news/2024-03-14-1733/business-second-courageous-conversation-set-tuesday-discussing-eliminating,Yahoo News,https://yahoo.com/news/second-courageous-conversation-set-tuesday-234900522.html,left,['Business']
Mar 14 2024,Is TikTok's Time Up in the U.S.?,"Sign up for the AllSides Story of the Week Newsletter to receive this blog in your inbox every Thursday.
A bill is progressing through Congress that would give ByteDance, the Chinese company behind the highly popular short-form video app TikTok, an ultimatum: sell the app to an American company or be banned in the United States.
	
	For years, lawmakers have raised concern over the",https://www.allsides.com/blog/tiktoks-time-us,AllSides Staff,,12_0,"['TikTok', 'Defense And Security', 'China', 'Social Media']"
Mar 14 2024,Kamala Harris abortion clinic visit: Vice president makes historic trip to Minnesota Planned Parenthood,"People come to Minnesota these days in search of rights other states have taken away. On Thursday, Vice President Kamala Harris came to Minnesota to visit an abortion clinic. Not something you can do in every state. Not anymore. One by one, everyday rights we took for granted are being stripped or attacked. Don't want to get pregnant? Some states imposed abortion bans so sweeping they rule out",https://www.allsides.com/news/2024-03-14-1130/abortion-kamala-harris-abortion-clinic-visit-vice-president-makes-historic-trip,Star Tribune,https://startribune.com/kamala-harris-abortion-clinic-minnesota/600351104,left,"['Planned Parenthood', 'Abortion']"
Mar 14 2024,Pharmacies to begin dispensing abortion pills,"NEW HAVEN, Conn. (WTNH) — In what President Joseph Biden has called an important milestone for U.S. health care, two of the nation’s largest pharmacy chains – CVS and Walgreens – are going to start dispensing the abortion pill mifepristone at select retail locations beginning later this month.
Dr. Sten Vermund, a licensed pediatrician and former dean of the Yale School of Public Health",https://www.allsides.com/news/2024-03-14-1033/abortion-pharmacies-begin-dispensing-abortion-pills,WTNH,https://wtnh.com/news/health/pharmacies-to-begin-dispensing-abortion-pills,center,['Abortion']
